date,competition,home_team,away_team,home_goals,away_goals,source
2026-08-14,RUS-PREMIERL,Orenburg,Lokomotiv Moscow,1,1,"Checked by hand, 2026-09-10. football-data.co.uk's Russia file stopped at 2026-08-02 and has not resumed."
2026-09-06,RUS-PREMIERL,Dynamo Moscow,Spartak Moscow,2,1,"Checked by hand, 2026-09-10. Same feed, same gap."
