day,band,recorded_at,competition,competition_name,home,away,match,key,group,selection,prob,fair_odds,odds,hit_rate,hit_rate_n,played_on,home_goals,away_goals,outcome,pnl,settled_at
2026-08-24,main,2026-08-22T10:00:24,DNK-SUPERLIG,Superliga,brondby,silkeborg,Brondby IF v Silkeborg IF,tt0.5_away_over,tt,Away team over 0.5 goals,0.62478,1.60057,,0.65221,62120,2026-08-24,3.00000,1.00000,won,,2026-08-25T10:07:03
2026-08-24,value,2026-08-22T10:00:24,PD,La Liga,osasuna,levante,CA Osasuna v Levante,btts_yes,btts,Both teams to score,0.45392,2.20305,,0.46604,29229,2026-08-24,0.00000,0.00000,lost,,2026-08-25T10:07:03
2026-08-25,safe,2026-08-23T10:00:24,ARG-LIGAPROF,Liga Profesional,talleres cordoba,rosario central,Talleres v Rosario Central,tt1.5_away_under,tt,Away team under 1.5 goals,0.76091,1.31421,,0.77423,34115,2026-08-25,2.00000,2.00000,lost,,2026-08-25T10:07:03
2026-08-25,main,2026-08-23T10:00:24,ARG-LIGAPROF,Liga Profesional,lanus,argentinos juniors,Lanus v Argentinos Juniors,tt0.5_away_over,tt,Away team over 0.5 goals,0.61776,1.61874,,0.65221,62120,,,,pending,,
2026-08-25,value,2026-08-23T10:00:24,ARG-LIGAPROF,Liga Profesional,lanus,argentinos juniors,Lanus v Argentinos Juniors,btts_yes,btts,Both teams to score,0.41983,2.38189,,0.41641,13501,,,,pending,,
2026-08-26,safe,2026-08-24T11:03:39,PD,La Liga,real madrid,sociedad,Real Madrid v Real Sociedad,corners7.5_over,corners,Over 7.5 corners,0.76286,1.31086,,0.77340,15296,,,,pending,,
2026-08-26,main,2026-08-24T11:03:39,PD,La Liga,real madrid,sociedad,Real Madrid v Real Sociedad,ou3.5_under,ou,Under 3.5 goals,0.61318,1.63084,,0.65793,36563,,,,pending,,
2026-08-26,value,2026-08-24T11:03:39,PD,La Liga,real madrid,sociedad,Real Madrid v Real Sociedad,tt0.5_away_under,tt,Away team under 0.5 goals,0.42924,2.32970,,0.43361,24395,,,,pending,,
2026-08-27,safe,2026-08-25T10:13:47,PD,La Liga,barcelona,athletic bilbao,Barcelona v Athletic Bilbao,corners7.5_over,corners,Over 7.5 corners,0.76783,1.30237,,0.77359,15459,,,,pending,,
2026-08-27,main,2026-08-25T10:13:47,PD,La Liga,barcelona,athletic bilbao,Barcelona v Athletic Bilbao,ou2.5_over,ou,Over 2.5 goals,0.61224,1.63335,1.50000,0.65849,36216,,,,pending,,
2026-08-27,value,2026-08-25T10:13:47,PD,La Liga,celta,osasuna,Celta Vigo v CA Osasuna,tt1.5_home_over,tt,Home team over 1.5 goals,0.42482,2.35392,,0.43343,24837,,,,pending,,
